group;object_id;index;name;req_type;resp_type;unit;description;enum_map
POWER_MNG;0xF168B748;835;power_mng.soc_strategy;ENUM;ENUM;;SOC target selection;0=SOC target = SOC|1=Constant|2=External|3=Middle battery voltage|4=Internal|5=Schedule
BATTERY_PLACEHOLDER;0xF1DE6E99;836;battery_placeholder[0].cells_resist[3];STRING;STRING;;;
GRID_MON;0xF1FA5BB9;837;grid_mon[1].f_under.time;FLOAT;FLOAT;s;Min. frequency switch-off time level 2;
BATTERY_PLACEHOLDER;0xF23D4595;838;battery_placeholder[0].cells_stat[1].t_min.value;FLOAT;FLOAT;;;
NSM;0xF2405AC6;839;nsm.p_limit;FLOAT;FLOAT;W;Max. grid power;
DISPLAY_STRUCT;0xF247BB16;840;display_struct.contrast;UINT8;UINT8;;Display contrast;
NSM;0xF25591AA;841;nsm.cos_phi_p[3][0];FLOAT;FLOAT;P/Pn;Point 4;
BATTERY;0xF257D342;842;battery.cells_stat[1].t_max.value;FLOAT;FLOAT;;;
G_SYNC;0xF25C339B;843;g_sync.u_ptp_rms[2];FLOAT;FLOAT;V;Phase to phase voltage 3;
LOGGER;0xF28341E2;844;logger.month_eac_log_ts;INT32;TIMESERIES;;;
OTHERS;0xF2BE0C9C;845;p_buf_available;FLOAT;FLOAT;W;Available buffer power;
POWER_MNG;0xF393B7B0;846;power_mng.calib_charge_power;FLOAT;FLOAT;W;Calibration charge power;
NSM;0xF3FD6C4C;847;nsm.pf_use_p_max;BOOL;BOOL;;By over-frequency in P(f) use Pmax instead of Pmom (instant P).;
BATTERY;0xF3FD8CE6;848;battery.cells_resist[2];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
IO_BOARD;0xF42D4DD0;849;io_board.alarm_home_value;ENUM;ENUM;;Evaluated value;0=Pgrid|1=Pgrid + Pbat charge
BATTERY_PLACEHOLDER;0xF451E935;850;battery_placeholder[0].cells_stat[0].t_min.time;UINT32;UINT32;;;
BUF_V_CONTROL;0xF473BC5E;851;buf_v_control.power_reduction_max_solar_grid;FLOAT;FLOAT;W;Max. allowed grid feed-in power;
NSM;0xF49F58F2;852;nsm.p_u[2][1];FLOAT;FLOAT;V;Point 3 voltage;
POWER_MNG;0xF52C0B50;969;power_mng.schedule[4]??;STRING;STRING;;;
POWER_MNG;0xF52C0B50;853;power_mng.schedule[7];STRING;STRING;;;
BATTERY;0xF54BC06D;854;battery.cells_stat[4].u_max.value;FLOAT;FLOAT;;;
G_SYNC;0xF5584F90;855;g_sync.p_ac_sc[1];FLOAT;FLOAT;W;Grid power phase 2;
BAT_MNG_STRUCT;0xF644DCA7;856;bat_mng_struct.k_reserve;FLOAT;FLOAT;;Main reservation coefficient [0..2];
BATTERY_PLACEHOLDER;0xF677D737;857;battery_placeholder[0].cells_stat[6].u_max.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0xF68ECC1F;858;battery_placeholder[0].cells_stat[1].u_max.time;UINT32;UINT32;;;
NSM;0xF6A85818;859;nsm.f_entry;FLOAT;FLOAT;Hz;Entry frequency for P(f) over-frequency mode;
BATTERY_PLACEHOLDER;0xF742C6BA;860;battery_placeholder[0].cells_stat[1].u_max.index;UINT8;UINT8;;;
LOGGER;0xF76DE445;861;logger.minutes_temp_log_ts;INT32;TIMESERIES;°C;;
DB;0xF79D41D9;862;db.temp1;FLOAT;FLOAT;°C;Heat sink temperature;
DC_CONV;0xF87A2A1E;863;dc_conv.last_rescan;UINT32;UINT32;;Last global rescan;
BATTERY;0xF8C0D255;864;battery.cells[0];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
WIFI;0xF8DECCE6;865;wifi.connected_ap_ssid;STRING;STRING;;WiFi associated AP;
